# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT MLT
2003.00 11.00 20.00 16.00 30.00 128.50 55.00 20.53
2003.00 11.00 20.00 18.00 1.00 128.50 55.00 21.97
2003.00 11.00 20.00 18.00 5.00 128.50 55.00 22.04
2003.00 11.00 20.00 20.00 24.00 128.50 55.00 0.25
2003.00 11.00 20.00 17.00 43.00 131.00 55.00 21.85
2003.00 11.00 20.00 17.00 49.00 131.00 55.00 21.95
2003.00 11.00 20.00 18.00 1.00 131.00 55.00 22.14
2003.00 11.00 20.00 18.00 5.00 131.00 55.00 22.20
2003.00 11.00 20.00 18.00 33.00 131.00 55.00 22.65
2003.00 11.00 20.00 20.00 22.00 131.00 55.00 0.38
2003.00 11.00 20.00 20.00 24.00 131.00 55.00 0.42
2003.00 11.00 20.00 20.00 25.00 131.00 55.00 0.43
2003.00 11.00 20.00 17.00 43.00 133.50 55.00 22.02
2003.00 11.00 20.00 17.00 54.00 133.50 55.00 22.20
2003.00 11.00 20.00 18.00 33.00 133.50 55.00 22.82
2003.00 11.00 20.00 20.00 25.00 133.50 55.00 0.60
2003.00 11.00 20.00 17.00 43.00 136.00 55.00 22.19
2003.00 11.00 20.00 17.00 54.00 136.00 55.00 22.36
2003.00 11.00 20.00 20.00 21.00 136.00 55.00 0.70
2003.00 11.00 20.00 20.00 25.00 136.00 55.00 0.77
2003.00 11.00 20.00 16.00 27.00 138.50 55.00 21.15
2003.00 11.00 20.00 17.00 54.00 138.50 55.00 22.53
2003.00 11.00 20.00 20.00 3.00 138.50 55.00 0.58
2003.00 11.00 20.00 20.00 8.00 138.50 55.00 0.66
2003.00 11.00 20.00 20.00 10.00 138.50 55.00 0.69
2003.00 11.00 20.00 20.00 13.00 138.50 55.00 0.74
2003.00 11.00 20.00 20.00 19.00 138.50 55.00 0.84
2003.00 11.00 20.00 20.00 21.00 138.50 55.00 0.87
2003.00 11.00 20.00 20.00 25.00 138.50 55.00 0.93
2003.00 11.00 20.00 16.00 27.00 141.00 55.00 21.31
2003.00 11.00 20.00 17.00 53.00 141.00 55.00 22.68
2003.00 11.00 20.00 17.00 54.00 141.00 55.00 22.70
2003.00 11.00 20.00 20.00 3.00 141.00 55.00 0.75
2003.00 11.00 20.00 20.00 19.00 141.00 55.00 1.00
2003.00 11.00 20.00 20.00 28.00 141.00 55.00 1.15
2003.00 11.00 20.00 17.00 54.00 143.50 55.00 22.86
2003.00 11.00 20.00 20.00 3.00 143.50 55.00 0.91
2003.00 11.00 20.00 20.00 19.00 143.50 55.00 1.17
2003.00 11.00 20.00 20.00 28.00 143.50 55.00 1.31
2003.00 11.00 20.00 19.00 19.00 146.00 55.00 0.38
2003.00 11.00 20.00 19.00 40.00 146.00 55.00 0.71
2003.00 11.00 20.00 20.00 3.00 146.00 55.00 1.08
2003.00 11.00 20.00 17.00 20.00 148.50 55.00 22.65
2003.00 11.00 20.00 19.00 11.00 148.50 55.00 0.42
2003.00 11.00 20.00 19.00 19.00 148.50 55.00 0.55
2003.00 11.00 20.00 19.00 40.00 148.50 55.00 0.88
2003.00 11.00 20.00 20.00 20.00 148.50 55.00 1.52
2003.00 11.00 20.00 14.00 30.00 151.00 55.00 20.12
2003.00 11.00 20.00 17.00 20.00 151.00 55.00 22.82
2003.00 11.00 20.00 19.00 29.00 151.00 55.00 0.87
2003.00 11.00 20.00 19.00 34.00 151.00 55.00 0.95
2003.00 11.00 20.00 20.00 20.00 151.00 55.00 1.69
