# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT
2003.00 11.00 20.00 18.00 33.00 133.50 55.00
2003.00 11.00 20.00 20.00 25.00 133.50 55.00
2003.00 11.00 20.00 17.00 43.00 136.00 55.00
2003.00 11.00 20.00 17.00 54.00 136.00 55.00
2003.00 11.00 20.00 20.00 21.00 136.00 55.00
2003.00 11.00 20.00 20.00 25.00 136.00 55.00
2003.00 11.00 20.00 16.00 27.00 138.50 55.00
2003.00 11.00 20.00 17.00 54.00 138.50 55.00
2003.00 11.00 20.00 20.00 3.00 138.50 55.00
2003.00 11.00 20.00 20.00 8.00 138.50 55.00
2003.00 11.00 20.00 20.00 10.00 138.50 55.00
2003.00 11.00 20.00 20.00 13.00 138.50 55.00
2003.00 11.00 20.00 20.00 19.00 138.50 55.00
2003.00 11.00 20.00 20.00 21.00 138.50 55.00
2003.00 11.00 20.00 20.00 25.00 138.50 55.00
2003.00 11.00 20.00 16.00 27.00 141.00 55.00
2003.00 11.00 20.00 17.00 53.00 141.00 55.00
2003.00 11.00 20.00 17.00 54.00 141.00 55.00
2003.00 11.00 20.00 20.00 3.00 141.00 55.00
2003.00 11.00 20.00 20.00 19.00 141.00 55.00
2003.00 11.00 20.00 20.00 28.00 141.00 55.00
2003.00 11.00 20.00 17.00 54.00 143.50 55.00
2003.00 11.00 20.00 20.00 3.00 143.50 55.00
2003.00 11.00 20.00 20.00 19.00 143.50 55.00
2003.00 11.00 20.00 20.00 28.00 143.50 55.00
2003.00 11.00 20.00 19.00 19.00 146.00 55.00
2003.00 11.00 20.00 19.00 40.00 146.00 55.00
2003.00 11.00 20.00 20.00 3.00 146.00 55.00
2003.00 11.00 20.00 17.00 20.00 148.50 55.00
2003.00 11.00 20.00 19.00 11.00 148.50 55.00
2003.00 11.00 20.00 19.00 19.00 148.50 55.00
2003.00 11.00 20.00 19.00 40.00 148.50 55.00
2003.00 11.00 20.00 20.00 20.00 148.50 55.00
2003.00 11.00 20.00 14.00 30.00 151.00 55.00
2003.00 11.00 20.00 17.00 20.00 151.00 55.00
2003.00 11.00 20.00 19.00 29.00 151.00 55.00
2003.00 11.00 20.00 19.00 34.00 151.00 55.00
2003.00 11.00 20.00 20.00 20.00 151.00 55.00
2003.00 11.00 20.00 14.00 30.00 153.50 55.00
2003.00 11.00 20.00 19.00 34.00 153.50 55.00
2003.00 11.00 20.00 19.00 44.00 153.50 55.00
2003.00 11.00 20.00 20.00 20.00 153.50 55.00
2003.00 11.00 20.00 14.00 30.00 156.00 55.00
2003.00 11.00 20.00 18.00 15.00 156.00 55.00
2003.00 11.00 20.00 18.00 51.00 156.00 55.00
2003.00 11.00 20.00 19.00 10.00 156.00 55.00
2003.00 11.00 20.00 19.00 12.00 156.00 55.00
2003.00 11.00 20.00 19.00 14.00 156.00 55.00
2003.00 11.00 20.00 19.00 24.00 156.00 55.00
2003.00 11.00 20.00 19.00 34.00 156.00 55.00
2003.00 11.00 20.00 19.00 38.00 156.00 55.00
2003.00 11.00 20.00 13.00 28.00 158.50 55.00
2003.00 11.00 20.00 18.00 15.00 158.50 55.00
2003.00 11.00 20.00 18.00 19.00 158.50 55.00
2003.00 11.00 20.00 18.00 43.00 158.50 55.00
2003.00 11.00 20.00 18.00 51.00 158.50 55.00
2003.00 11.00 20.00 19.00 12.00 158.50 55.00
2003.00 11.00 20.00 19.00 13.00 158.50 55.00
2003.00 11.00 20.00 19.00 14.00 158.50 55.00
2003.00 11.00 20.00 19.00 24.00 158.50 55.00
2003.00 11.00 20.00 19.00 35.00 158.50 55.00
2003.00 11.00 20.00 19.00 36.00 158.50 55.00
2003.00 11.00 20.00 19.00 38.00 158.50 55.00
2003.00 11.00 20.00 12.00 58.00 161.00 55.00
2003.00 11.00 20.00 13.00 28.00 161.00 55.00
2003.00 11.00 20.00 18.00 15.00 161.00 55.00
2003.00 11.00 20.00 18.00 19.00 161.00 55.00
2003.00 11.00 20.00 18.00 51.00 161.00 55.00
2003.00 11.00 20.00 19.00 12.00 161.00 55.00
2003.00 11.00 20.00 19.00 13.00 161.00 55.00
2003.00 11.00 20.00 19.00 14.00 161.00 55.00
2003.00 11.00 20.00 19.00 18.00 161.00 55.00
2003.00 11.00 20.00 19.00 24.00 161.00 55.00
2003.00 11.00 20.00 19.00 28.00 161.00 55.00
2003.00 11.00 20.00 19.00 36.00 161.00 55.00
2003.00 11.00 20.00 12.00 51.00 163.50 55.00
2003.00 11.00 20.00 12.00 58.00 163.50 55.00
2003.00 11.00 20.00 13.00 28.00 163.50 55.00
2003.00 11.00 20.00 17.00 50.00 163.50 55.00
2003.00 11.00 20.00 18.00 15.00 163.50 55.00
2003.00 11.00 20.00 18.00 19.00 163.50 55.00
2003.00 11.00 20.00 18.00 38.00 163.50 55.00
2003.00 11.00 20.00 18.00 49.00 163.50 55.00
2003.00 11.00 20.00 19.00 10.00 163.50 55.00
2003.00 11.00 20.00 19.00 12.00 163.50 55.00
2003.00 11.00 20.00 19.00 13.00 163.50 55.00
2003.00 11.00 20.00 19.00 15.00 163.50 55.00
2003.00 11.00 20.00 19.00 18.00 163.50 55.00
2003.00 11.00 20.00 19.00 28.00 163.50 55.00
2003.00 11.00 20.00 19.00 34.00 163.50 55.00
2003.00 11.00 20.00 12.00 58.00 166.00 55.00
2003.00 11.00 20.00 13.00 28.00 166.00 55.00
2003.00 11.00 20.00 17.00 33.00 166.00 55.00
2003.00 11.00 20.00 17.00 50.00 166.00 55.00
2003.00 11.00 20.00 18.00 4.00 166.00 55.00
2003.00 11.00 20.00 18.00 10.00 166.00 55.00
2003.00 11.00 20.00 18.00 11.00 166.00 55.00
2003.00 11.00 20.00 18.00 28.00 166.00 55.00
2003.00 11.00 20.00 18.00 38.00 166.00 55.00
2003.00 11.00 20.00 18.00 43.00 166.00 55.00
2003.00 11.00 20.00 18.00 45.00 166.00 55.00
2003.00 11.00 20.00 19.00 10.00 166.00 55.00
2003.00 11.00 20.00 19.00 13.00 166.00 55.00
2003.00 11.00 20.00 19.00 18.00 166.00 55.00
2003.00 11.00 20.00 19.00 34.00 166.00 55.00
2003.00 11.00 20.00 19.00 35.00 166.00 55.00
2003.00 11.00 20.00 12.00 58.00 168.50 55.00
2003.00 11.00 20.00 13.00 28.00 168.50 55.00
2003.00 11.00 20.00 16.00 47.00 168.50 55.00
2003.00 11.00 20.00 17.00 29.00 168.50 55.00
2003.00 11.00 20.00 17.00 50.00 168.50 55.00
2003.00 11.00 20.00 17.00 53.00 168.50 55.00
2003.00 11.00 20.00 18.00 4.00 168.50 55.00
2003.00 11.00 20.00 18.00 7.00 168.50 55.00
2003.00 11.00 20.00 18.00 10.00 168.50 55.00
2003.00 11.00 20.00 18.00 11.00 168.50 55.00
2003.00 11.00 20.00 18.00 20.00 168.50 55.00
2003.00 11.00 20.00 18.00 38.00 168.50 55.00
2003.00 11.00 20.00 18.00 43.00 168.50 55.00
2003.00 11.00 20.00 18.00 45.00 168.50 55.00
2003.00 11.00 20.00 18.00 47.00 168.50 55.00
2003.00 11.00 20.00 18.00 56.00 168.50 55.00
2003.00 11.00 20.00 19.00 30.00 168.50 55.00
2003.00 11.00 20.00 19.00 34.00 168.50 55.00
2003.00 11.00 20.00 19.00 35.00 168.50 55.00
2003.00 11.00 20.00 19.00 37.00 168.50 55.00
